,cmdt_zone,year,average_yield,min_yield,max_yield,stdeviation_yield,coefiscient_variation_yield
113,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
114,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
115,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
116,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
117,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
118,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
119,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
120,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
121,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
122,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
123,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
124,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
125,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
126,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
127,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
128,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
129,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
130,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
131,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
132,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
133,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
134,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
135,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
136,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
137,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
138,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
139,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
140,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
141,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
142,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
143,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
144,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
145,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
146,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
147,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
148,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
149,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
150,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
151,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
152,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
153,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
154,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
155,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
156,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
157,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
158,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
159,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
160,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
161,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
162,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
163,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
164,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
165,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
166,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
167,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
168,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
169,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
170,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
171,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
172,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
173,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
174,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
175,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
176,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
177,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
178,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
179,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
180,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
181,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
182,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
183,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
184,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
185,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
186,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
187,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
188,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
189,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
190,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
191,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
192,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
193,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
194,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
195,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
196,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
197,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
198,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
199,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
200,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
201,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
202,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
203,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
204,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
205,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
206,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
207,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
208,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
209,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
210,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
211,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
212,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
213,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
214,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
215,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
216,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
217,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
218,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
219,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
220,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
221,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
222,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
223,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
224,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
225,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
226,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
227,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
228,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
229,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
230,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
231,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
232,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
233,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
234,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
235,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
236,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
237,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
238,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
239,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
240,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
241,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
242,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
243,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
244,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
245,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
246,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
247,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
248,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
249,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
250,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
251,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
252,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
253,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
254,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
255,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
256,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
257,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
258,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
259,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
260,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
261,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
262,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
263,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
264,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
265,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
266,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
267,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
268,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
269,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
270,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
271,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
272,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
273,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
274,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
275,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
276,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
277,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
278,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
279,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
280,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
281,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
282,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
283,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
284,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
285,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
286,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
287,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
288,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
289,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
290,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
291,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
292,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
293,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
294,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
295,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
296,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
297,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
298,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
299,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
300,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
301,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
302,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
303,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
304,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
305,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
306,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
307,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
308,Fana,1990,1910.0,1406.0,2629.0,524.7251662,27.47252179
309,Fana,1991,2159.0,1891.0,2484.0,215.693069,9.990415422
310,Fana,1992,1832.8,1675.0,1994.0,123.3438284,6.729802945
311,Fana,1993,1837.562705,1753.455571,1894.883721,61.67936615,3.356585654
312,Fana,1994,1975.879646,1601.861083,2206.933911,225.5804165,11.41670835
313,Fana,1995,1869.411708,1333.830104,2364.705882,385.3747128,20.61475871
314,Fana,1996,1836.384413,1583.955548,2003.943801,196.1917023,10.68358569
315,Fana,1997,1904.869163,1836.487207,1986.466463,61.03042076,3.203916675
316,Fana,1998,1703.6,1616.0,1826.0,80.31375972,4.714355466
317,Fana,1999,1835.792669,1553.03559,2201.961611,251.0673759,13.67623808
318,Fana,2000,1442.4,1051.0,1827.0,297.3277653,20.6134058
319,Fana,2001,1678.6,1245.0,2262.0,436.8452815,26.02438231
320,Fana,2002,1193.6,947.0,1540.0,242.321687,20.30174992
321,Fana,2003,1685.4,1329.0,2062.0,304.2914721,18.05455513
322,Fana,2004,1588.6,744.0,2480.0,636.8220317,40.08699683
323,Fana,2005,1726.4,1579.0,1904.0,160.4939251,9.296450714
324,Fana,2006,1721.4,1472.0,2114.0,260.8137266,15.15125634
325,Fana,2007,1613.0,1354.0,1861.0,191.0209413,11.8425878
326,Fana,2008,1663.8,1269.0,2035.0,307.5169914,18.48280992
327,Fana,2009,1651.0,1166.0,2125.0,391.3023128,23.70092749
328,Fana,2010,1740.2,1363.0,2147.0,333.4564439,19.16196092
329,Fana,2011,1632.6,1203.0,2182.0,407.7791069,24.97728206
330,Fana,2012,1906.2,1795.0,2150.0,144.5326953,7.582241909
331,Fana,2013,1833.4,1371.0,2105.0,278.0976447,15.16841086
332,Fana,2014,2034.8,1513.0,2298.0,320.7502143,15.76323051
333,Fana,2015,2132.0,1851.0,2415.0,258.222772,12.11176229
334,Fana,2016,2099.4,1902.0,2359.0,202.4766653,9.64450154
335,Fana,2017,2326.0,2128.0,2666.0,218.3346056,9.386698435
336,Koutiala,1990,1759.5,1159.0,2010.0,319.3898871,18.15230958
337,Koutiala,1991,1549.166667,1102.0,1934.0,299.9149324,19.35975895
338,Koutiala,1992,1938.666667,1577.0,2296.0,296.0984071,15.2733016
339,Koutiala,1993,1893.208821,1719.868637,2216.347713,186.8641314,9.870233508
340,Koutiala,1994,1784.644597,1569.97568,2030.507386,169.5226662,9.49895943
341,Koutiala,1995,1744.243414,1602.946732,1899.930021,114.169634,6.545510396
342,Koutiala,1996,1816.769691,1644.42326,2020.942408,149.4030056,8.22355229
343,Koutiala,1997,1786.145081,1706.98088,1924.997042,79.42030786,4.446464551
344,Koutiala,1998,1808.0,1654.0,1881.0,81.44118532,4.504490339
345,Koutiala,1999,1871.281337,1671.02638,1962.9683,111.465892,5.956661344
346,Koutiala,2000,1495.280618,1248.0,1790.063182,212.7449455,14.22776053
347,Koutiala,2001,1808.142857,1725.0,1911.0,75.79891945,4.192086878
348,Koutiala,2002,1102.714286,547.0,1648.0,361.5820397,32.79018367
349,Koutiala,2003,1815.575831,793.0,2388.987252,544.3282545,29.98102559
350,Koutiala,2004,1519.413065,1207.028448,1945.952935,291.4230642,19.1799762
351,Koutiala,2005,2064.857436,1619.934126,2356.959365,253.8846456,12.29550482
352,Koutiala,2006,2136.149653,1709.093461,2454.958895,233.2090974,10.91726401
353,Koutiala,2007,1783.167711,1076.060234,2260.088889,413.2981661,23.17775067
354,Koutiala,2008,2029.267412,1601.008557,2507.885305,280.315572,13.81363394
355,Koutiala,2009,2145.0,1854.0,2714.0,281.9615813,13.14506207
356,Koutiala,2010,2220.142857,1921.0,2588.0,230.9064952,10.4005242
357,Koutiala,2011,1942.428571,1627.0,2230.0,238.3462867,12.27053031
358,Koutiala,2012,2406.428571,2113.0,2695.0,228.6991161,9.50367357
359,Koutiala,2013,2089.128531,1784.004128,2381.987144,275.7322288,13.19843297
360,Koutiala,2014,2523.428571,2243.0,2763.0,176.3820259,6.98977684
361,Koutiala,2015,2516.557669,2131.0,2783.903681,239.2147589,9.505633902
362,Koutiala,2016,2302.285714,2147.0,2461.0,121.429972,5.274322436
363,Koutiala,2017,2344.571429,2080.0,2701.0,204.8380313,8.736693997
364,Koutiala,1990,1759.5,1159.0,2010.0,319.3898871,18.15230958
365,Koutiala,1991,1549.166667,1102.0,1934.0,299.9149324,19.35975895
366,Koutiala,1992,1938.666667,1577.0,2296.0,296.0984071,15.2733016
