,year,cmdt_zone,cmdt_sector,adm3_pcode,crop_name,crop_season,production_mtha,planted_areas_ha,matyield.kg.ha
23,2013,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2169.0
24,2014,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2280.0
25,2015,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2320.0
26,2016,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2450.0
27,2017,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2346.635071
28,1990,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
29,1991,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
30,1992,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
31,1993,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
32,1994,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
33,1995,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,0.0,0.0,
34,1996,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,3049.0,1722.0,1770.615563
35,1997,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,3862.0,2284.0,1690.89317
36,1998,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,4616.0,2510.0,1839.0
37,1999,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,5281.0,9454.0,2150.02116
38,2000,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1552.0
39,2001,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1800.0
40,2002,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1124.0
41,2003,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1906.0
42,2004,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1749.0
43,2005,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1837.0
44,2006,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,1845.0
45,2007,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2085.0
46,2008,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2066.0
47,2009,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2033.0
48,2010,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2298.0
49,2011,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2130.0
50,2012,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2105.0
51,2013,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2249.0
52,2014,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2791.0
53,2015,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2784.0
54,2016,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2432.0
55,2017,Bougouni,Dogo,ML030120,maize,rainy_season-June_October,,,2220.0
56,1990,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,0.0,0.0,
57,1991,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,2280.0,1552.0,1469.0
58,1992,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,4400.0,2014.0,2185.0
59,1993,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,4127.0,2486.0,1660.0
60,1994,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,5616.0,2992.0,1877.0
61,1995,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,5917.0,3381.0,1750.0
62,1996,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,7195.0,4265.0,1687.0
63,1997,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,9448.0,4850.0,1948.0
64,1998,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,10706.0,5614.0,1907.0
65,1999,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,16558.0,7585.0,2183.0
66,2000,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2011.0
67,2001,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,1981.0
68,2002,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,1907.0
69,2003,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2075.0
70,2004,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2090.0
71,2005,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2659.0
72,2006,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2300.0
73,2007,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,1974.0
74,2008,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,1735.0
75,2009,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2102.0
76,2010,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2246.0
77,2011,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2089.0
78,2012,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2273.0
79,2013,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2286.0
80,2014,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2489.0
81,2015,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2421.0
82,2016,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2572.0
83,2017,Bougouni,Garalo,ML030122,maize,rainy_season-June_October,,,2308.0
84,1990,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1643.0
85,1991,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1410.0
86,1992,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1305.0
87,1993,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1737.0
88,1994,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1709.0
89,1995,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1982.0
90,1996,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1849.0
91,1997,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1963.0
92,1998,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1817.0
93,1999,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1850.0
94,2000,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1672.0
95,2001,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2000.0
96,2002,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1562.0
97,2003,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1799.0
98,2004,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1874.0
99,2005,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1835.0
100,2006,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2141.0
101,2007,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2003.0
102,2008,Bougouni,kolondieba,,maize,rainy_season-June_October,,,1973.0
103,2009,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2034.0
104,2010,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2180.0
105,2011,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2354.0
106,2012,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2366.0
107,2013,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2395.0
108,2014,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2497.0
109,2015,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2660.0
110,2016,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2526.0
111,2017,Bougouni,kolondieba,,maize,rainy_season-June_October,,,2454.0
112,1990,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,7244.0,3819.0,1897.0
113,1991,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,5510.0,3800.0,1450.0
114,1992,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,6002.0,3983.0,1507.0
115,1993,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,6686.0,4350.0,1537.011494
116,1994,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,8082.0,4236.0,1907.932011
117,1995,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,7557.0,4348.0,1738.040478
118,1996,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,9295.0,5163.0,1800.309897
119,1997,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,12801.0,7374.0,1735.964199
120,1998,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,17806.0,8112.0,2195.0
121,1999,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,20322.0,3215.5,1642.10199
122,2000,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,1524.0
123,2001,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2200.0
124,2002,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,1342.0
125,2003,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2056.0
126,2004,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,1941.0
127,2005,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2525.0
128,2006,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2758.0
129,2007,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2103.0
130,2008,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,1694.0
131,2009,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2384.0
132,2010,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2094.0
133,2011,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,1930.0
134,2012,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2054.0
135,2013,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2136.0
136,2014,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2494.0
137,2015,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2523.0
138,2016,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2585.0
139,2017,Bougouni,Koumantou,ML030122,maize,rainy_season-June_October,,,2416.0
140,1990,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,10361.0,6175.0,1678.0
141,1991,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,11700.0,7580.0,1544.0
142,1992,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,17682.0,9476.0,1866.0
143,1993,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,17964.0,10015.0,1793.709436
144,1994,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,18015.0,10081.0,1787.025097
145,1995,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,22242.0,11182.0,1989.089608
146,1996,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,21088.0,11587.0,1819.970657
147,1997,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,32435.0,14339.0,2262.012693
148,1998,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,32936.0,15150.0,2174.0
149,1999,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,36387.0,17966.0,2066.034522
150,2000,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1994.0
151,2001,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2134.0
152,2002,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1691.0
153,2003,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1637.0
154,2004,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1877.0
155,2005,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2185.0
156,2006,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2041.0
157,2007,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2362.0
158,2008,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1660.0
159,2009,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2222.0
160,2010,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2011.0
161,2011,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,1918.0
162,2012,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2047.0
163,2013,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2185.0
164,2014,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2492.0
165,2015,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2367.0
166,2016,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2295.0
167,2017,Bougouni,Yanfolila,ML030122,maize,rainy_season-June_October,,,2317.0
168,1990,Fana,Beleko,ML020201,maize,rainy_season-June_October,8284.0,4388.0,1888.0
169,1991,Fana,Beleko,ML020201,maize,rainy_season-June_October,9598.0,5075.0,1891.0
170,1992,Fana,Beleko,ML020201,maize,rainy_season-June_October,10445.0,5469.0,1910.0
171,1993,Fana,Beleko,ML020201,maize,rainy_season-June_October,11230.0,5929.0,1894.079946
172,1994,Fana,Beleko,ML020201,maize,rainy_season-June_October,14259.0,6461.0,2206.933911
173,1995,Fana,Beleko,ML020201,maize,rainy_season-June_October,11500.0,6650.0,1729.323308
174,1996,Fana,Beleko,ML020201,maize,rainy_season-June_October,15486.0,7790.0,1987.933248
175,1997,Fana,Beleko,ML020201,maize,rainy_season-June_October,20109.0,10123.0,1986.466463
176,1998,Fana,Beleko,ML020201,maize,rainy_season-June_October,17178.0,10093.0,1702.0
177,1999,Fana,Beleko,ML020201,maize,rainy_season-June_October,20879.0,9482.0,2201.961611
178,2000,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,1577.0
179,2001,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2262.0
180,2002,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,977.0
181,2003,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2062.0
182,2004,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,1847.0
183,2005,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,1904.0
184,2006,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2114.0
185,2007,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,1526.0
186,2008,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2035.0
187,2009,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2125.0
188,2010,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2147.0
189,2011,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2182.0
190,2012,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2150.0
191,2013,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2105.0
192,2014,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2298.0
193,2015,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2415.0
194,2016,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2266.0
195,2017,Fana,Beleko,ML020201,maize,rainy_season-June_October,,,2414.0
196,1990,Fana,Dioila,ML020220,maize,rainy_season-June_October,8112.0,3674.0,2208.0
197,1991,Fana,Dioila,ML020220,maize,rainy_season-June_October,10300.0,4147.0,2484.0
198,1992,Fana,Dioila,ML020220,maize,rainy_season-June_October,9246.0,4637.0,1994.0
199,1993,Fana,Dioila,ML020220,maize,rainy_season-June_October,9096.0,5059.0,1797.983791
200,1994,Fana,Dioila,ML020220,maize,rainy_season-June_October,10667.0,5206.0,2048.981944
201,1995,Fana,Dioila,ML020220,maize,rainy_season-June_October,12000.0,5787.0,2073.613271
202,1996,Fana,Dioila,ML020220,maize,rainy_season-June_October,13800.0,7117.0,1939.01925
203,1997,Fana,Dioila,ML020220,maize,rainy_season-June_October,17045.0,9191.0,1854.531607
204,1998,Fana,Dioila,ML020220,maize,rainy_season-June_October,15798.0,9776.0,1616.0
205,1999,Fana,Dioila,ML020220,maize,rainy_season-June_October,17767.0,10445.0,1701.005266
206,2000,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1264.0
207,2001,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1644.0
208,2002,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1265.0
209,2003,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1748.0
210,2004,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1457.0
211,2005,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1672.0
212,2006,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1854.0
213,2007,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1712.0
214,2008,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1838.0
215,2009,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1897.0
216,2010,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1897.0
217,2011,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1844.0
218,2012,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1923.0
219,2013,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1910.0
220,2014,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,2097.0
221,2015,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,1963.0
222,2016,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,2028.0
223,2017,Fana,Dioila,ML020220,maize,rainy_season-June_October,,,2240.0
224,1990,Fana,Konobougou,ML020601,maize,rainy_season-June_October,2539.0,1806.0,1406.0
225,1991,Fana,Konobougou,ML020601,maize,rainy_season-June_October,4976.0,2304.0,2160.0
226,1992,Fana,Konobougou,ML020601,maize,rainy_season-June_October,5096.0,2874.0,1773.0
227,1993,Fana,Konobougou,ML020601,maize,rainy_season-June_October,6216.0,3545.0,1753.455571
228,1994,Fana,Konobougou,ML020601,maize,rainy_season-June_October,8217.0,4016.0,2046.065737
229,1995,Fana,Konobougou,ML020601,maize,rainy_season-June_October,11055.0,4675.0,2364.705882
230,1996,Fana,Konobougou,ML020601,maize,rainy_season-June_October,9122.0,5759.0,1583.955548
231,1997,Fana,Konobougou,ML020601,maize,rainy_season-June_October,13781.0,7504.0,1836.487207
232,1998,Fana,Konobougou,ML020601,maize,rainy_season-June_October,16736.0,9165.0,1826.0
233,1999,Fana,Konobougou,ML020601,maize,rainy_season-June_October,18215.0,9303.0,1957.970547
234,2000,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1827.0
235,2001,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1958.0
236,2002,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1239.0
237,2003,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1329.0
238,2004,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,744.0
239,2005,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1891.0
240,2006,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1575.0
241,2007,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1612.0
242,2008,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1442.0
243,2009,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1166.0
244,2010,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1429.0
245,2011,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1203.0
246,2012,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1819.0
247,2013,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1371.0
248,2014,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1513.0
249,2015,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1851.0
250,2016,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,1942.0
251,2017,Fana,Konobougou,ML020601,maize,rainy_season-June_October,,,2182.0
252,1990,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,2310.0,1628.0,1419.0
253,1991,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,3989.0,1822.0,2189.0
254,1992,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,4122.0,2461.0,1675.0
255,1993,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,5315.0,2877.0,1847.410497
256,1994,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,6223.0,3150.0,1975.555556
257,1995,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,6000.0,3251.0,1845.585974
258,1996,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,8130.0,4057.0,2003.943801
259,1997,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,10308.0,5323.0,1936.501973
260,1998,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,9029.0,5240.0,1723.0
261,1999,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,8902.0,5732.0,1553.03559
262,2000,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1051.0
263,2001,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1284.0
264,2002,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,947.0
265,2003,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1427.0
266,2004,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1415.0
267,2005,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1579.0
268,2006,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1472.0
269,2007,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1354.0
270,2008,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1269.0
271,2009,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1354.0
272,2010,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1363.0
273,2011,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1268.0
274,2012,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1795.0
275,2013,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1959.0
276,2014,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1980.0
277,2015,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,2035.0
278,2016,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,1902.0
279,2017,Fana,Markacoungo,ML020424,maize,rainy_season-June_October,,,2128.0
280,1990,Fana,Massigui,ML020220,maize,rainy_season-June_October,7383.0,2819.0,2629.0
281,1991,Fana,Massigui,ML020220,maize,rainy_season-June_October,5575.0,2692.0,2071.0
282,1992,Fana,Massigui,ML020220,maize,rainy_season-June_October,5786.0,3194.0,1812.0
283,1993,Fana,Massigui,ML020220,maize,rainy_season-June_October,6111.0,3225.0,1894.883721
284,1994,Fana,Massigui,ML020220,maize,rainy_season-June_October,4820.0,3009.0,1601.861083
285,1995,Fana,Massigui,ML020220,maize,rainy_season-June_October,3580.0,2684.0,1333.830104
286,1996,Fana,Massigui,ML020220,maize,rainy_season-June_October,5508.0,3304.0,1667.070218
287,1997,Fana,Massigui,ML020220,maize,rainy_season-June_October,7672.0,4016.0,1910.358566
288,1998,Fana,Massigui,ML020220,maize,rainy_season-June_October,6946.0,4207.0,1651.0
289,1999,Fana,Massigui,ML020220,maize,rainy_season-June_October,9125.0,5170.0,1764.990329
290,2000,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1493.0
291,2001,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1245.0
292,2002,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1540.0
293,2003,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1861.0
294,2004,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,2480.0
295,2005,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1586.0
296,2006,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1592.0
297,2007,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1861.0
298,2008,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1735.0
299,2009,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1713.0
300,2010,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1865.0
301,2011,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1666.0
302,2012,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1844.0
303,2013,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,1822.0
304,2014,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,2286.0
305,2015,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,2396.0
306,2016,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,2359.0
307,2017,Fana,Massigui,ML020220,maize,rainy_season-June_October,,,2666.0
308,1990,Koutiala,Bla,ML020208,maize,rainy_season-June_October,3568.0,3078.0,1159.0
309,1991,Koutiala,Bla,ML020208,maize,rainy_season-June_October,4521.0,3064.0,1476.0
310,1992,Koutiala,Bla,ML020208,maize,rainy_season-June_October,6952.0,3921.0,1773.0
311,1993,Koutiala,Bla,ML020208,maize,rainy_season-June_October,7063.0,3926.0,1799.032094
312,1994,Koutiala,Bla,ML020208,maize,rainy_season-June_October,7394.0,3906.0,1892.985151
313,1995,Koutiala,Bla,ML020208,maize,rainy_season-June_October,8486.0,5294.0,1602.946732
314,1996,Koutiala,Bla,ML020208,maize,rainy_season-June_October,10786.0,6289.0,1715.058038
315,1997,Koutiala,Bla,ML020208,maize,rainy_season-June_October,14667.0,8552.0,1715.037418
316,1998,Koutiala,Bla,ML020208,maize,rainy_season-June_October,14798.0,8947.0,1654.0
317,1999,Koutiala,Bla,ML020208,maize,rainy_season-June_October,15371.0,8242.0,1864.959961
318,2000,Koutiala,Bla,ML020208,maize,rainy_season-June_October,,,1248.0
319,2001,Koutiala,Bla,ML020208,maize,rainy_season-June_October,,,1885.0
320,2002,Koutiala,Bla,ML020208,maize,rainy_season-June_October,,,793.0
