,State,Municipality,Crop,Active agricultural production units - Total,Active agricultural production units - With open agriculture,Cultivated area - Sown,Cultivated area - Harvested,Production,Water Modality - Temporary - Production unit,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Production unit,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
324,01 AGS,010 El Llano,White corn,1612,1612,10794.807,9175.9914,18774.3807,1556,10497.9227,8884.4477,17039.6014,126,296.8843,291.5437,1734.7793
344,01 AGS,011 San Francisco de los Romo,Forage corn,211,211,1938.9812,1844.0519,79131.9166,161,748.0412,654.1551,5744.8686,56,1190.94,1189.8968,73387.048
345,01 AGS,011 San Francisco de los Romo,Yellow corn,6,6,25.21,7.53,24.9651,6,25.21,7.53,24.9651,0,0,0,0
346,01 AGS,011 San Francisco de los Romo,White corn,204,204,1107.6185,802.5061,1063.8597,190,1067.132,765.9296,828.0448,22,40.4865,36.5765,235.8149
408,02 BCN,001 Ensenada,Forage corn,6,6,26.6,24.1,1103.251,0,0,0,0,6,26.6,24.1,1103.251
409,02 BCN,001 Ensenada,White corn,17,17,54.5623,48.5377,458.8873,3,13.27,7.2454,18.1135,14,41.2923,41.2923,440.7738
439,02 BCN,002 Mexicali,Forage corn,28,28,1246.18,1177.18,53434.6698,0,0,0,0,28,1246.18,1177.18,53434.6698
440,02 BCN,002 Mexicali,Yellow corn,12,12,453.96,453.96,5093.4312,0,0,0,0,12,453.96,453.96,5093.4312
441,02 BCN,002 Mexicali,White corn,70,70,1296.2782,1295.2782,14534.9245,0,0,0,0,70,1296.2782,1295.2782,14534.9245
468,02 BCN,003 Tecate,Forage corn,*,*,19.5,12.5,822.655,*,5,0,0,*,14.5,12.5,822.655
469,02 BCN,003 Tecate,White corn,*,*,1.89,1.39,15.568,*,0.5,0,0,*,1.39,1.39,15.568
494,02 BCN,004 Tijuana,Forage corn,*,*,0.3,0,0,*,0.3,0,0,*,0,0,0
495,02 BCN,004 Tijuana,White corn,*,*,2,1,11.2,*,0,0,0,*,2,1,11.2
511,02 BCN,005 Playas de Rosarito,Forage corn,*,*,0.5,0.5,22.655,*,0,0,0,*,0.5,0.5,22.655
532,02 BCN,006 San Quintín,Forage corn,8,8,63.8,20.6,577.118,2,52,11.8,221.7,6,11.8,8.8,355.418
533,02 BCN,006 San Quintín,White corn,4,4,16,4,44.8,1,12,0,0,3,4,4,44.8
598,03 BCS,001 Comondú,Forage corn,13,13,269.25,261.25,7583.775,0,0,0,0,13,269.25,261.25,7583.775
599,03 BCS,001 Comondú,Yellow corn,*,*,3.15,3.15,29.47,*,0,0,0,*,3.15,3.15,29.47
600,03 BCS,001 Comondú,White corn,160,160,3740.0346,3656.0346,30873.0724,0,0,0,0,160,3740.0346,3656.0346,30873.0724
631,03 BCS,002 Mulegé,Forage corn,6,6,10,9,261.9,0,0,0,0,6,10,9,261.9
632,03 BCS,002 Mulegé,White corn,*,*,1.5,0.5,2.255,*,0,0,0,*,1.5,0.5,2.255
659,03 BCS,003 La Paz,Forage corn,34,34,121.35,112.85,3380.617,1,3,3,66.21,33,118.35,109.85,3314.407
660,03 BCS,003 La Paz,Yellow corn,*,*,23,23,126.14,*,14,14,38.03,*,9,9,88.11
661,03 BCS,003 La Paz,White corn,14,14,43.7666,43.7666,273.9261,3,14.1,14.1,36,11,29.6666,29.6666,237.9261
694,03 BCS,008 Los Cabos,Forage corn,38,38,68.48,66.48,1556.715,0,0,0,0,38,68.48,66.48,1556.715
695,03 BCS,008 Los Cabos,Yellow corn,8,8,10.48,9.48,93.1642,0,0,0,0,8,10.48,9.48,93.1642
696,03 BCS,008 Los Cabos,White corn,16,16,32.1938,31.6938,83.6785,0,0,0,0,16,32.1938,31.6938,83.6785
721,03 BCS,009 Loreto,Yellow corn,*,*,0.25,0.25,0.3,*,0,0,0,*,0.25,0.25,0.3
722,03 BCS,009 Loreto,White corn,*,*,0.125,0.125,1.0025,*,0,0,0,*,0.125,0.125,1.0025
772,04 CAM,001 Calkiní,Forage corn,63,63,127.34,88.3283,1123.6658,61,123.84,84.8283,1069.1658,2,3.5,3.5,54.5
773,04 CAM,001 Calkiní,Yellow corn,207,207,405.7671,345.723,568.2756,203,401.5171,342.473,565.2706,4,4.25,3.25,3.005
774,04 CAM,001 Calkiní,White corn,1162,1162,3166.3112,2982.2026,5239.7678,1149,3128.2312,2945.1226,5107.1378,15,38.08,37.08,132.63
798,04 CAM,002 Campeche,Forage corn,138,138,936.3087,879.6835,19022.1249,131,914.2387,857.6135,18665.8649,10,22.07,22.07,356.26
799,04 CAM,002 Campeche,Yellow corn,308,308,3126.4085,3057.8819,8049.6961,296,3023.8185,2955.6719,7393.875,12,102.59,102.21,655.8211
800,04 CAM,002 Campeche,White corn,3507,3507,23443.5952,21496.9241,60843.2567,3390,22548.605,20615.7461,56188.5279,153,894.9902,881.178,4654.7288
831,04 CAM,003 Carmen,Forage corn,303,303,879.7202,624.0398,9653.4552,300,827.7202,617.5398,9545.1552,3,52,6.5,108.3
832,04 CAM,003 Carmen,Yellow corn,162,162,566.6186,474.3709,1361.299,160,561.6186,469.3709,1340.699,2,5,5,20.6
833,04 CAM,003 Carmen,White corn,1330,1330,6966.3191,5553.7509,11288.5329,1328,6958.6067,5547.8866,11256.4223,2,7.7124,5.8643,32.1106
859,04 CAM,004 Champotón,Forage corn,455,455,3148.621,3034.1947,56375.0716,452,3132.621,3018.1947,56182.0716,3,16,16,193
860,04 CAM,004 Champotón,Yellow corn,472,472,1550.9894,1450.1369,3591.1169,467,1424.9039,1324.0514,2370.8249,6,126.0855,126.0855,1220.292
861,04 CAM,004 Champotón,White corn,2813,2813,8965.5467,8045.8119,15253.524,2794,8747.9946,7830.2598,14319.475,35,217.5521,215.5521,934.049
890,04 CAM,005 Hecelchakán,Forage corn,75,75,226.3281,223.9636,4035.962,74,225.1281,222.7636,4032.762,1,1.2,1.2,3.2
891,04 CAM,005 Hecelchakán,Yellow corn,313,313,1606.9434,1594.4434,4569.9592,313,1606.9434,1594.4434,4569.9592,0,0,0,0
892,04 CAM,005 Hecelchakán,White corn,2420,2420,13652.7645,13521.8567,39083.4083,2410,13480.9294,13350.0216,38108.9507,16,171.8351,171.8351,974.4576
921,04 CAM,006 Hopelchén,Forage corn,46,46,464.5516,394.5516,7812.7317,43,361.4437,291.4437,5956.7895,3,103.1079,103.1079,1855.9422
922,04 CAM,006 Hopelchén,Yellow corn,781,781,6348.0078,5753.7044,18334.0263,779,6340.5078,5746.2044,18281.0263,2,7.5,7.5,53
923,04 CAM,006 Hopelchén,White corn,6222,6222,35072.9249,31902.9292,95408.4115,6148,32424.5761,29254.5804,79464.1738,91,2648.3488,2648.3488,15944.2377
950,04 CAM,007 Palizada,Forage corn,118,118,713.473,701.973,11798.2223,117,712.973,701.473,11789.2223,1,0.5,0.5,9
951,04 CAM,007 Palizada,Yellow corn,19,19,65.815,60.2163,110.0223,19,65.815,60.2163,110.0223,0,0,0,0
952,04 CAM,007 Palizada,White corn,221,221,1324.9993,1263.1893,2812.6644,219,1321.7993,1259.9893,2809.3644,2,3.2,3.2,3.3
978,04 CAM,008 Tenabo,Forage corn,56,56,229.3959,229.3959,4688.3297,56,229.3959,229.3959,4688.3297,0,0,0,0
979,04 CAM,008 Tenabo,Yellow corn,146,146,975.1816,938.2391,2951.5022,126,924.0916,887.1491,2451.3311,21,51.09,51.09,500.1711
980,04 CAM,008 Tenabo,White corn,1420,1420,7096.6325,6769.1091,20487.7551,1367,6884.8225,6557.2991,19424.1901,74,211.81,211.81,1063.565
1007,04 CAM,009 Escárcega,Forage corn,92,92,278.821,242.3087,3795.6894,91,275.821,242.3087,3795.6894,1,3,0,0
1008,04 CAM,009 Escárcega,Yellow corn,419,419,941.1397,707.2692,1196.8228,419,941.1397,707.2692,1196.8228,0,0,0,0
1009,04 CAM,009 Escárcega,White corn,2748,2748,5950.3826,4494.1148,5622.5337,2747,5945.3826,4489.1148,5605.0529,1,5,5,17.4808
1041,04 CAM,010 Calakmul,Forage corn,473,473,919.95,777.0696,2462.1472,473,919.95,777.0696,2462.1472,0,0,0,0
1042,04 CAM,010 Calakmul,Yellow corn,471,471,964.7333,658.454,892.7692,471,964.7333,658.454,892.7692,0,0,0,0
1043,04 CAM,010 Calakmul,White corn,4158,4158,7703.7447,5467.9,6072.6304,4158,7703.7447,5467.9,6072.6304,0,0,0,0
1072,04 CAM,011 Candelaria,Forage corn,251,251,803.5421,717.0871,12778.7958,248,746.5421,660.0871,10954.7958,3,57,57,1824
1073,04 CAM,011 Candelaria,Yellow corn,207,207,570.3065,518.7489,1239.1984,205,530.3065,498.7489,1169.1984,2,40,20,70
1074,04 CAM,011 Candelaria,White corn,3577,3577,10215.6163,9410.863,19505.7244,3575,8679.3833,7874.63,10648.9,3,1536.233,1536.233,8856.8244
1100,04 CAM,012 Seybaplaya,Forage corn,30,30,35.375,27.065,94.585,29,34.375,27.065,94.585,1,1,0,0
1101,04 CAM,012 Seybaplaya,Yellow corn,100,100,109.9303,97.7325,152.4694,99,109.9203,97.7275,152.4495,1,0.01,0.005,0.0199
1102,04 CAM,012 Seybaplaya,White corn,138,138,233.9237,215.6265,352.9927,137,232.9237,215.6265,352.9927,1,1,0,0
1125,04 CAM,013 Dzitbalché,Yellow corn,35,35,130.3,130.3,347.49,35,130.3,130.3,347.49,0,0,0,0
1126,04 CAM,013 Dzitbalché,White corn,535,535,2235.88,2178.88,5351.8574,534,2233.88,2176.88,5342.2024,2,2,2,9.655
1179,05 COA,001 Abasolo,Yellow corn,*,*,1.5,0,0,*,0,0,0,*,1.5,0,0
1191,05 COA,002 Acuña,Forage corn,*,*,11,10,463.6,*,1,0,0,*,10,10,463.6
1192,05 COA,002 Acuña,White corn,*,*,5,1,1,*,0,0,0,*,5,1,1
1205,05 COA,003 Allende,Forage corn,*,*,30,30,1390.8,*,0,0,0,*,30,30,1390.8
1206,05 COA,003 Allende,White corn,*,*,5,5,9.17,*,2,2,2,*,3,3,7.17
1226,05 COA,004 Arteaga,Forage corn,134,134,761.165,451.005,11699.6774,120,514.165,211.505,1008.0774,14,247,239.5,10691.6
1227,05 COA,004 Arteaga,Yellow corn,29,29,265.0571,250.7475,687.1578,14,92.7171,86.6523,48.3436,15,172.34,164.0952,638.8142
1228,05 COA,004 Arteaga,White corn,330,330,1671.4941,1057.1665,2175.2543,283,1305.7645,699.3713,449.4008,47,365.7296,357.7952,1725.8535
1248,05 COA,005 Candela,Forage corn,3,3,4.5,4.5,100.46,2,2.5,2.5,7.74,1,2,2,92.72
1249,05 COA,005 Candela,Yellow corn,*,*,6,6,11,*,5,5,10,*,1,1,1
1250,05 COA,005 Candela,White corn,*,*,5,5,4.1,*,1,1,0.1,*,4,4,4
1264,05 COA,006 Castaños,Forage corn,9,9,18.5,8,15.48,9,18.5,8,15.48,0,0,0,0
1265,05 COA,006 Castaños,Yellow corn,48,48,116.4582,64.1962,64.9751,47,112.2082,59.9566,57.2166,1,4.25,4.2396,7.7585
1266,05 COA,006 Castaños,White corn,70,70,169.8097,71.0992,41.4437,66,166.5,67.7895,30.7757,4,3.3097,3.3097,10.668
1278,05 COA,007 Cuatro Ciénegas,Forage corn,43,43,1916.8433,1916.3433,87254.1249,5,9.7933,9.7933,90.4671,38,1907.05,1906.55,87163.6578
1279,05 COA,007 Cuatro Ciénegas,Yellow corn,16,16,32.675,20.675,19.6988,7,22,10,6.35,9,10.675,10.675,13.3488
1280,05 COA,007 Cuatro Ciénegas,White corn,15,15,48.5,17.5,8.44,15,48.5,17.5,8.44,0,0,0,0
1300,05 COA,008 Escobedo,Forage corn,5,5,8,4.997,117.7609,3,3.5,2.5,2,2,4.5,2.497,115.7609
1301,05 COA,008 Escobedo,Yellow corn,4,4,8,2,1.4,4,8,2,1.4,0,0,0,0
1302,05 COA,008 Escobedo,White corn,19,19,36.92,36.92,80.576,1,1,1,2,18,35.92,35.92,78.576
1321,05 COA,009 Francisco I. Madero,Forage corn,275,275,5110.9342,5050.7643,233796.7612,1,4,4,124,274,5106.9342,5046.7643,233672.7612
1322,05 COA,009 Francisco I. Madero,White corn,12,12,113.1888,113.1888,516.2537,0,0,0,0,12,113.1888,113.1888,516.2537
1337,05 COA,010 Frontera,Forage corn,*,*,6.81,5.9978,68.8547,*,6.81,5.9978,68.8547,*,0,0,0
1338,05 COA,010 Frontera,White corn,*,*,3,3,4.2307,*,0,0,0,*,3,3,4.2307
1362,05 COA,011 General Cepeda,Forage corn,58,58,274.9222,207.0018,3712.1683,52,208.6722,145.7518,884.1683,6,66.25,61.25,2828
1363,05 COA,011 General Cepeda,Yellow corn,32,32,95.52,65.02,45.935,30,92.02,61.52,39.53,2,3.5,3.5,6.405
1364,05 COA,011 General Cepeda,White corn,979,979,3411.6743,1881.533,1380.3118,951,3355.3204,1834.6791,1312.2318,28,56.3539,46.8539,68.08
1383,05 COA,012 Guerrero,Forage corn,3,3,754,749.1112,34728.7952,0,0,0,0,3,754,749.1112,34728.7952
1384,05 COA,012 Guerrero,Yellow corn,*,*,2,2,1.4,*,2,2,1.4,*,0,0,0
1385,05 COA,012 Guerrero,White corn,*,*,4,4,1.24,*,4,4,1.24,*,0,0,0
1395,05 COA,013 Hidalgo,White corn,6,6,4.755,3.3296,12.7857,1,1.36,0,0,5,3.395,3.3296,12.7857
1409,05 COA,014 Jiménez,Forage corn,8,8,17.6666,5.3333,166.4118,1,2,1,11.48,7,15.6666,4.3333,154.9318
1410,05 COA,014 Jiménez,Yellow corn,*,*,7,5,9.15,*,0,0,0,*,7,5,9.15
1411,05 COA,014 Jiménez,White corn,5,5,15.5,2,7.68,1,2.5,0,0,4,13,2,7.68
1426,05 COA,015 Juárez,Yellow corn,*,*,4,0,0,*,4,0,0,*,0,0,0
1427,05 COA,015 Juárez,White corn,5,5,7,4,6.84,4,6,3,3,1,1,1,3.84
1443,05 COA,016 Lamadrid,Forage corn,3,3,1.5573,1.5555,72.113,0,0,0,0,3,1.5573,1.5555,72.113
1444,05 COA,016 Lamadrid,White corn,*,*,3.3587,3.2704,12.5583,*,0,0,0,*,3.3587,3.2704,12.5583
1466,05 COA,017 Matamoros,Forage corn,485,485,5356.6376,5351.2892,246371.0652,12,43.6581,41.1281,1018.5706,474,5312.9795,5310.1611,245352.4946
1467,05 COA,017 Matamoros,White corn,70,70,1203.1932,1203.1932,4600.8788,4,8,8,14.2,66,1195.1932,1195.1932,4586.6788
1483,05 COA,018 Monclova,Forage corn,*,*,3,2,92.72,*,1,0,0,*,2,2,92.72
1484,05 COA,018 Monclova,Yellow corn,*,*,2.8,1.8,3.33,*,0.8,0.8,1.5,*,2,1,1.83
1485,05 COA,018 Monclova,White corn,*,*,1.5,0,0,*,1.5,0,0,*,0,0,0
1497,05 COA,019 Morelos,Forage corn,3,3,27,7,96.72,0,0,0,0,3,27,7,96.72
1498,05 COA,019 Morelos,White corn,6,6,52,51,38.88,2,7,7,1.2,4,45,44,37.68
1511,05 COA,020 Múzquiz,Yellow corn,*,*,1.5,0,0,*,1.5,0,0,*,0,0,0
1525,05 COA,021 Nadadores,Forage corn,3,3,3,1,1.25,0,0,0,0,3,3,1,1.25
1526,05 COA,021 Nadadores,Yellow corn,7,7,9.85,9.35,14.7175,3,6.1,6.1,5.6,4,3.75,3.25,9.1175
1527,05 COA,021 Nadadores,White corn,12,12,20.7538,20.2538,62.2746,0,0,0,0,12,20.7538,20.2538,62.2746
1545,05 COA,022 Nava,Forage corn,4,4,36,36,1606.98,0,0,0,0,4,36,36,1606.98
1546,05 COA,022 Nava,Yellow corn,7,7,1153,1148,3062.5,0,0,0,0,7,1153,1148,3062.5
1547,05 COA,022 Nava,White corn,4,4,8.2,7.036,2.0192,3,8,6.836,2.0092,1,0.2,0.2,0.01
1564,05 COA,023 Ocampo,Forage corn,7,7,16.7263,16.7263,292.1214,5,13.5559,13.5559,145.1417,2,3.1704,3.1704,146.9797
1565,05 COA,023 Ocampo,Yellow corn,8,8,39.042,39.042,28.1295,8,39.042,39.042,28.1295,0,0,0,0
1566,05 COA,023 Ocampo,White corn,12,12,16.7029,16.2029,10.4629,10,13.7029,13.2029,5.8629,2,3,3,4.6
1587,05 COA,024 Parras,Forage corn,107,107,285.4667,243.0491,10166.6762,94,123.9574,83.0474,913.8374,13,161.5093,160.0017,9252.8388
1588,05 COA,024 Parras,Yellow corn,31,31,58.82,26.3,9.625,27,54.52,22.5,3.45,4,4.3,3.8,6.175
1589,05 COA,024 Parras,White corn,663,663,1585.7151,507.6167,278.3714,624,1539.8164,468.7512,188.7339,40,45.8987,38.8655,89.6375
1623,05 COA,026 Progreso,Forage corn,*,*,2,0,0,*,2,0,0,*,0,0,0
1624,05 COA,026 Progreso,White corn,*,*,2,0,0,*,2,0,0,*,0,0,0
1644,05 COA,027 Ramos Arizpe,Forage corn,52,52,151.68,126.2831,1406.9192,36,103.68,83.2831,231.8192,16,48,43,1175.1
1645,05 COA,027 Ramos Arizpe,Yellow corn,39,39,94.845,65.2462,58.4804,29,77.8601,53.9982,39.2166,10,16.9849,11.248,19.2638
1646,05 COA,027 Ramos Arizpe,White corn,264,264,887.295,624.9346,700.4492,210,728.0801,495.652,292.9758,55,159.2149,129.2826,407.4734
1668,05 COA,028 Sabinas,Forage corn,5,5,14,10.5,45.94,3,7,3.5,34.94,2,7,7,11
1669,05 COA,028 Sabinas,Yellow corn,6,6,7.625,1,2,5,5.625,1,2,1,2,0,0
1670,05 COA,028 Sabinas,White corn,8,8,36,32,81.7,7,16,12,4.9,1,20,20,76.8
1686,05 COA,029 Sacramento,Forage corn,*,*,5.1026,4.7705,136.3462,*,2.7609,2.4316,27.9148,*,2.3417,2.3389,108.4314
1687,05 COA,029 Sacramento,Yellow corn,15,15,23.61,23.61,54.9735,2,3.39,3.39,9,13,20.22,20.22,45.9735
1688,05 COA,029 Sacramento,White corn,*,*,7.0652,6.9584,22.2003,*,0,0,0,*,7.0652,6.9584,22.2003
1704,05 COA,030 Saltillo,Forage corn,148,148,622.7472,195.9172,1634.479,145,613.965,188.135,1273.6962,4,8.7822,7.7822,360.7828
1705,05 COA,030 Saltillo,Yellow corn,25,25,112.7891,61.9923,196.9696,25,112.7891,61.9923,196.9696,0,0,0,0
1706,05 COA,030 Saltillo,White corn,1794,1794,6996.3637,3273.2785,2555.4511,1781,6829.352,3109.8587,1693.381,14,167.0117,163.4198,862.0701
1729,05 COA,031 San Buenaventura,Forage corn,7,7,25.2187,22.2187,937.8389,1,2,2,0.5,6,23.2187,20.2187,937.3389
1730,05 COA,031 San Buenaventura,Yellow corn,9,9,15.5,15.5,31.555,0,0,0,0,9,15.5,15.5,31.555
1731,05 COA,031 San Buenaventura,White corn,28,28,66.7263,61.9763,183.9167,0,0,0,0,28,66.7263,61.9763,183.9167
1748,05 COA,032 San Juan de Sabinas,Forage corn,7,7,11.9777,7.8611,64.2454,2,3.9777,0.8611,9.8854,5,8,7,54.36
1768,05 COA,033 San Pedro,Forage corn,148,148,3103.2524,3101.4624,128668.9627,1,1,1,35,147,3102.2524,3100.4624,128633.9627
1769,05 COA,033 San Pedro,Yellow corn,6,6,9.4,5.68,30.1959,0,0,0,0,6,9.4,5.68,30.1959
1770,05 COA,033 San Pedro,White corn,54,54,55.988,55.238,156.259,4,2.25,1.5,3.4,50,53.738,53.738,152.859
1789,05 COA,034 Sierra Mojada,Forage corn,10,10,74.95,57.71,2406.5108,7,24.95,7.71,88.5108,3,50,50,2318
1790,05 COA,034 Sierra Mojada,White corn,10,10,38.3824,37.1274,153.1486,8,18.3824,17.1274,14.7486,2,20,20,138.4
1801,05 COA,035 Torreón,Forage corn,69,69,1187.1563,1186.6563,55380.1699,3,72,72,2111.88,66,1115.1563,1114.6563,53268.2899
1802,05 COA,035 Torreón,Yellow corn,*,*,1,1,1,*,1,1,1,*,0,0,0
1803,05 COA,035 Torreón,White corn,32,32,242.1936,239.1936,857.1333,5,16.5,14.5,6.21,27,225.6936,224.6936,850.9233
1818,05 COA,036 Viesca,Forage corn,64,64,441.6819,441.6819,16739.0497,33,88.6099,88.6099,1165.6317,31,353.072,353.072,15573.418
1819,05 COA,036 Viesca,Yellow corn,*,*,3.25,3.25,6,*,3.25,3.25,6,*,0,0,0
1820,05 COA,036 Viesca,White corn,221,221,1011.3088,994.6357,3182.7969,90,243.0306,226.3575,178.6081,133,768.2782,768.2782,3004.1888
1844,05 COA,037 Villa Unión,Forage corn,8,8,49.6749,49.1333,1885.1432,2,4.5415,3.9999,45.9188,6,45.1334,45.1334,1839.2244
1845,05 COA,037 Villa Unión,Yellow corn,*,*,1,0,0,*,1,0,0,*,0,0,0
1860,05 COA,038 Zaragoza,Forage corn,17,17,67.8863,67.6363,2097.6647,2,29.3863,29.3863,324.3947,15,38.5,38.25,1773.27
1861,05 COA,038 Zaragoza,Yellow corn,*,*,1,1,2.3,*,0,0,0,*,1,1,2.3
1862,05 COA,038 Zaragoza,White corn,7,7,58.5,53.5,173.76,0,0,0,0,7,58.5,53.5,173.76
1913,06 COL,001 Armería,Forage corn,15,15,68.9645,50.9645,1170.5961,5,21.5,21.5,387.135,10,47.4645,29.4645,783.4611
1914,06 COL,001 Armería,Yellow corn,8,8,63,33,308.595,1,30,0,0,7,33,33,308.595
1915,06 COL,001 Armería,White corn,41,41,135.6721,123.4221,680.7111,11,39.3403,38.0903,154.7301,31,96.3318,85.3318,525.981
1940,06 COL,002 Colima,Forage corn,369,369,1533.9901,1423.9713,28678.7077,308,1320.5183,1215.1995,23989.3625,63,213.4718,208.7718,4689.3452
1941,06 COL,002 Colima,Yellow corn,49,49,198.47,159.33,818.9601,44,178.47,139.33,630.4301,5,20,20,188.53
1942,06 COL,002 Colima,White corn,179,179,719.2213,586.3103,2330.0127,144,583.0421,507.4147,1875.9006,36,136.1792,78.8956,454.1121
1970,06 COL,003 Comala,Forage corn,227,227,912.7,874.5312,14679.0913,220,850.95,827.7812,13197.1838,9,61.75,46.75,1481.9075
1971,06 COL,003 Comala,Yellow corn,25,25,57.227,57.227,141.0368,25,57.227,57.227,141.0368,0,0,0,0
1972,06 COL,003 Comala,White corn,306,306,819.9554,800.6631,2428.859,298,777.9299,759.3324,2198.7971,8,42.0255,41.3307,230.0619
2000,06 COL,004 Coquimatlán,Forage corn,58,58,274.2353,263.8486,5122.7534,26,165.34,163.84,2882.72,32,108.8953,100.0086,2240.0334
2001,06 COL,004 Coquimatlán,Yellow corn,59,59,213.8994,210.2461,1486.6315,35,100.1657,96.5124,384.5405,24,113.7337,113.7337,1102.091
2002,06 COL,004 Coquimatlán,White corn,395,395,1599.0136,1559.0152,7165.0464,205,594.7676,563.7592,1733.1822,200,1004.246,995.256,5431.8642
